	"Cancer Sites"	"Cancer Sites Code"	"Year"	"Year Code"	"Age Groups"	"Age Groups Code"	"Sex"	"Sex Code"	"Race"	"Race Code"	Count	Population	Crude Rate
	"All Invasive Cancer Sites Combined"	"0"	"2010"	"2010"	"20-24 years"	"20-24"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	37	174104	21.25
	"All Invasive Cancer Sites Combined"	"0"	"2010"	"2010"	"20-24 years"	"20-24"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	165	659089	25.03
	"All Invasive Cancer Sites Combined"	"0"	"2010"	"2010"	"20-24 years"	"20-24"	"Female"	"F"	"Black or African American"	"2054-5"	435	1729210	25.16
	"All Invasive Cancer Sites Combined"	"0"	"2010"	"2010"	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	3287	8068476	40.74
	"All Invasive Cancer Sites Combined"	"0"	"2010"	"2010"	"20-24 years"	"20-24"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	86	Not Applicable	Not Applicable
	"All Invasive Cancer Sites Combined"	"0"	"2010"	"2010"	"20-24 years"	"20-24"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	42	190981	21.99
	"All Invasive Cancer Sites Combined"	"0"	"2010"	"2010"	"20-24 years"	"20-24"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	136	675384	20.14
	"All Invasive Cancer Sites Combined"	"0"	"2010"	"2010"	"20-24 years"	"20-24"	"Male"	"M"	"Black or African American"	"2054-5"	381	1694914	22.48
	"All Invasive Cancer Sites Combined"	"0"	"2010"	"2010"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	3179	8512391	37.35
	"All Invasive Cancer Sites Combined"	"0"	"2010"	"2010"	"20-24 years"	"20-24"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	92	Not Applicable	Not Applicable
	"All Invasive Cancer Sites Combined"	"0"	"2010"	"2010"	"25-29 years"	"25-29"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	71	164345	43.20
	"All Invasive Cancer Sites Combined"	"0"	"2010"	"2010"	"25-29 years"	"25-29"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	312	753885	41.39
	"All Invasive Cancer Sites Combined"	"0"	"2010"	"2010"	"25-29 years"	"25-29"	"Female"	"F"	"Black or African American"	"2054-5"	872	1574098	55.40
	"All Invasive Cancer Sites Combined"	"0"	"2010"	"2010"	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	5891	7990881	73.72
	"All Invasive Cancer Sites Combined"	"0"	"2010"	"2010"	"25-29 years"	"25-29"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	194	Not Applicable	Not Applicable
	"All Invasive Cancer Sites Combined"	"0"	"2010"	"2010"	"25-29 years"	"25-29"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	47	176402	26.64
	"All Invasive Cancer Sites Combined"	"0"	"2010"	"2010"	"25-29 years"	"25-29"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	202	695648	29.04
	"All Invasive Cancer Sites Combined"	"0"	"2010"	"2010"	"25-29 years"	"25-29"	"Male"	"M"	"Black or African American"	"2054-5"	500	1460639	34.23
	"All Invasive Cancer Sites Combined"	"0"	"2010"	"2010"	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	4443	8329334	53.34
	"All Invasive Cancer Sites Combined"	"0"	"2010"	"2010"	"25-29 years"	"25-29"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	127	Not Applicable	Not Applicable
	"All Invasive Cancer Sites Combined"	"0"	"2011"	"2011"	"20-24 years"	"20-24"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	47	179574	26.17
	"All Invasive Cancer Sites Combined"	"0"	"2011"	"2011"	"20-24 years"	"20-24"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	185	685056	27.01
	"All Invasive Cancer Sites Combined"	"0"	"2011"	"2011"	"20-24 years"	"20-24"	"Female"	"F"	"Black or African American"	"2054-5"	471	1802545	26.13
	"All Invasive Cancer Sites Combined"	"0"	"2011"	"2011"	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	3339	8192397	40.76
	"All Invasive Cancer Sites Combined"	"0"	"2011"	"2011"	"20-24 years"	"20-24"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	96	Not Applicable	Not Applicable
	"All Invasive Cancer Sites Combined"	"0"	"2011"	"2011"	"20-24 years"	"20-24"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	24	195917	12.25
	"All Invasive Cancer Sites Combined"	"0"	"2011"	"2011"	"20-24 years"	"20-24"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	151	701969	21.51
	"All Invasive Cancer Sites Combined"	"0"	"2011"	"2011"	"20-24 years"	"20-24"	"Male"	"M"	"Black or African American"	"2054-5"	403	1785843	22.57
	"All Invasive Cancer Sites Combined"	"0"	"2011"	"2011"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	3165	8625852	36.69
	"All Invasive Cancer Sites Combined"	"0"	"2011"	"2011"	"20-24 years"	"20-24"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	84	Not Applicable	Not Applicable
	"All Invasive Cancer Sites Combined"	"0"	"2011"	"2011"	"25-29 years"	"25-29"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	71	165397	42.93
	"All Invasive Cancer Sites Combined"	"0"	"2011"	"2011"	"25-29 years"	"25-29"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	396	770496	51.40
	"All Invasive Cancer Sites Combined"	"0"	"2011"	"2011"	"25-29 years"	"25-29"	"Female"	"F"	"Black or African American"	"2054-5"	847	1588857	53.31
	"All Invasive Cancer Sites Combined"	"0"	"2011"	"2011"	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	5818	8012850	72.61
	"All Invasive Cancer Sites Combined"	"0"	"2011"	"2011"	"25-29 years"	"25-29"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	205	Not Applicable	Not Applicable
	"All Invasive Cancer Sites Combined"	"0"	"2011"	"2011"	"25-29 years"	"25-29"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	50	178562	28.00
	"All Invasive Cancer Sites Combined"	"0"	"2011"	"2011"	"25-29 years"	"25-29"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	208	720044	28.89
	"All Invasive Cancer Sites Combined"	"0"	"2011"	"2011"	"25-29 years"	"25-29"	"Male"	"M"	"Black or African American"	"2054-5"	493	1488070	33.13
	"All Invasive Cancer Sites Combined"	"0"	"2011"	"2011"	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	4424	8363715	52.90
	"All Invasive Cancer Sites Combined"	"0"	"2011"	"2011"	"25-29 years"	"25-29"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	135	Not Applicable	Not Applicable
	"All Invasive Cancer Sites Combined"	"0"	"2012"	"2012"	"20-24 years"	"20-24"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	32	185609	17.24
	"All Invasive Cancer Sites Combined"	"0"	"2012"	"2012"	"20-24 years"	"20-24"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	177	704395	25.13
	"All Invasive Cancer Sites Combined"	"0"	"2012"	"2012"	"20-24 years"	"20-24"	"Female"	"F"	"Black or African American"	"2054-5"	454	1865524	24.34
	"All Invasive Cancer Sites Combined"	"0"	"2012"	"2012"	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	3448	8294123	41.57
	"All Invasive Cancer Sites Combined"	"0"	"2012"	"2012"	"20-24 years"	"20-24"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	131	Not Applicable	Not Applicable
	"All Invasive Cancer Sites Combined"	"0"	"2012"	"2012"	"20-24 years"	"20-24"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	34	201645	16.86
	"All Invasive Cancer Sites Combined"	"0"	"2012"	"2012"	"20-24 years"	"20-24"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	137	725391	18.89
	"All Invasive Cancer Sites Combined"	"0"	"2012"	"2012"	"20-24 years"	"20-24"	"Male"	"M"	"Black or African American"	"2054-5"	407	1873092	21.73
	"All Invasive Cancer Sites Combined"	"0"	"2012"	"2012"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	3176	8749568	36.30
	"All Invasive Cancer Sites Combined"	"0"	"2012"	"2012"	"20-24 years"	"20-24"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	111	Not Applicable	Not Applicable
	"All Invasive Cancer Sites Combined"	"0"	"2012"	"2012"	"25-29 years"	"25-29"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	71	166441	42.66
	"All Invasive Cancer Sites Combined"	"0"	"2012"	"2012"	"25-29 years"	"25-29"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	388	783164	49.54
	"All Invasive Cancer Sites Combined"	"0"	"2012"	"2012"	"25-29 years"	"25-29"	"Female"	"F"	"Black or African American"	"2054-5"	858	1607122	53.39
	"All Invasive Cancer Sites Combined"	"0"	"2012"	"2012"	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	5918	8008879	73.89
	"All Invasive Cancer Sites Combined"	"0"	"2012"	"2012"	"25-29 years"	"25-29"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	216	Not Applicable	Not Applicable
	"All Invasive Cancer Sites Combined"	"0"	"2012"	"2012"	"25-29 years"	"25-29"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	57	180356	31.60
	"All Invasive Cancer Sites Combined"	"0"	"2012"	"2012"	"25-29 years"	"25-29"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	243	740179	32.83
	"All Invasive Cancer Sites Combined"	"0"	"2012"	"2012"	"25-29 years"	"25-29"	"Male"	"M"	"Black or African American"	"2054-5"	536	1522044	35.22
	"All Invasive Cancer Sites Combined"	"0"	"2012"	"2012"	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	4593	8384889	54.78
	"All Invasive Cancer Sites Combined"	"0"	"2012"	"2012"	"25-29 years"	"25-29"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	158	Not Applicable	Not Applicable
	"All Invasive Cancer Sites Combined"	"0"	"2013"	"2013"	"20-24 years"	"20-24"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	40	189687	21.09
	"All Invasive Cancer Sites Combined"	"0"	"2013"	"2013"	"20-24 years"	"20-24"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	192	715732	26.83
	"All Invasive Cancer Sites Combined"	"0"	"2013"	"2013"	"20-24 years"	"20-24"	"Female"	"F"	"Black or African American"	"2054-5"	485	1906528	25.44
	"All Invasive Cancer Sites Combined"	"0"	"2013"	"2013"	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	3423	8327632	41.10
	"All Invasive Cancer Sites Combined"	"0"	"2013"	"2013"	"20-24 years"	"20-24"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	129	Not Applicable	Not Applicable
	"All Invasive Cancer Sites Combined"	"0"	"2013"	"2013"	"20-24 years"	"20-24"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	43	204438	21.03
	"All Invasive Cancer Sites Combined"	"0"	"2013"	"2013"	"20-24 years"	"20-24"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	170	740774	22.95
	"All Invasive Cancer Sites Combined"	"0"	"2013"	"2013"	"20-24 years"	"20-24"	"Male"	"M"	"Black or African American"	"2054-5"	406	1937758	20.95
	"All Invasive Cancer Sites Combined"	"0"	"2013"	"2013"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	3135	8803235	35.61
	"All Invasive Cancer Sites Combined"	"0"	"2013"	"2013"	"20-24 years"	"20-24"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	110	Not Applicable	Not Applicable
	"All Invasive Cancer Sites Combined"	"0"	"2013"	"2013"	"25-29 years"	"25-29"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	70	167764	41.73
	"All Invasive Cancer Sites Combined"	"0"	"2013"	"2013"	"25-29 years"	"25-29"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	390	801076	48.68
	"All Invasive Cancer Sites Combined"	"0"	"2013"	"2013"	"25-29 years"	"25-29"	"Female"	"F"	"Black or African American"	"2054-5"	846	1638249	51.64
	"All Invasive Cancer Sites Combined"	"0"	"2013"	"2013"	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	5899	8031834	73.45
	"All Invasive Cancer Sites Combined"	"0"	"2013"	"2013"	"25-29 years"	"25-29"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	252	Not Applicable	Not Applicable
	"All Invasive Cancer Sites Combined"	"0"	"2013"	"2013"	"25-29 years"	"25-29"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	57	182631	31.21
	"All Invasive Cancer Sites Combined"	"0"	"2013"	"2013"	"25-29 years"	"25-29"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	224	764751	29.29
	"All Invasive Cancer Sites Combined"	"0"	"2013"	"2013"	"25-29 years"	"25-29"	"Male"	"M"	"Black or African American"	"2054-5"	513	1568287	32.71
	"All Invasive Cancer Sites Combined"	"0"	"2013"	"2013"	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	4452	8421544	52.86
	"All Invasive Cancer Sites Combined"	"0"	"2013"	"2013"	"25-29 years"	"25-29"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	168	Not Applicable	Not Applicable
	"All Invasive Cancer Sites Combined"	"0"	"2014"	"2014"	"20-24 years"	"20-24"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	30	192436	15.59
	"All Invasive Cancer Sites Combined"	"0"	"2014"	"2014"	"20-24 years"	"20-24"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	195	723705	26.94
	"All Invasive Cancer Sites Combined"	"0"	"2014"	"2014"	"20-24 years"	"20-24"	"Female"	"F"	"Black or African American"	"2054-5"	460	1918919	23.97
	"All Invasive Cancer Sites Combined"	"0"	"2014"	"2014"	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	3471	8324411	41.70
	"All Invasive Cancer Sites Combined"	"0"	"2014"	"2014"	"20-24 years"	"20-24"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	163	Not Applicable	Not Applicable
	"All Invasive Cancer Sites Combined"	"0"	"2014"	"2014"	"20-24 years"	"20-24"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	42	205137	20.47
	"All Invasive Cancer Sites Combined"	"0"	"2014"	"2014"	"20-24 years"	"20-24"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	194	751654	25.81
	"All Invasive Cancer Sites Combined"	"0"	"2014"	"2014"	"20-24 years"	"20-24"	"Male"	"M"	"Black or African American"	"2054-5"	411	1967515	20.89
	"All Invasive Cancer Sites Combined"	"0"	"2014"	"2014"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	3360	8808541	38.14
